id,pid,trial_num,cue_time,action,action_time,reward,reward_time,rt,spinspeed,mood_rating,pid_db
66,testing,55,1676410401.96,0,1676410404.874,0,1676410407.906,2.9140000343322754,fast,28,2
67,testing,56,1676410411.121,1,1676410412.686,1,1676410417.301,1.565000057220459,slow,-1,2
68,testing,57,1676410418.349,0,1676410418.449,0,1676410422.963,0.09999990463256836,slow,-1,2
69,testing,58,1676410424.012,1,1676410425.194,1,1676410428.21,1.181999921798706,fast,-1,2
70,testing,59,1676410429.259,1,1676410429.41,1,1676410432.44,0.1510000228881836,fast,-1,2
71,testing,60,1676410433.489,1,1676410433.672,1,1676410438.187,0.182999849319458,slow,27,2
72,testing,1,1676411201.292,1,1676411201.791,1,1676411201.925,0.49899983406066895,fast,-1,3
73,testing,2,1676411202.957,0,1676411203.073,1,1676411203.207,0.11599993705749512,fast,26,3
74,testing,3,1676411205.889,1,1676411206.204,1,1676411206.338,0.315000057220459,slow,-1,3
75,testing,4,1676411207.371,0,1676411207.787,1,1676411207.905,0.4159998893737793,slow,-1,3
76,testing,5,1676411208.954,1,1676411209.27,0,1676411209.403,0.31599998474121094,fast,25,3
77,testing,1,1676411213.967,1,1676411214.502,1,1676411214.633,0.5350000858306885,fast,-1,3
78,testing,2,1676411215.666,0,1676411215.899,0,1676411216.032,0.2330000400543213,fast,25,3
79,testing,3,1676411218.414,0,1676411218.713,0,1676411218.83,0.2990000247955322,slow,-1,3
80,testing,4,1676411219.879,1,1676411220.196,1,1676411220.312,0.317000150680542,slow,-1,3
81,testing,5,1676411221.345,0,1676411222.128,0,1676411222.264,0.7829999923706055,fast,26,3
82,testing,6,1676411225.493,1,1676411226.441,1,1676411226.576,0.9479999542236328,slow,-1,3
83,testing,7,1676411227.624,0,1676411228.075,0,1676411228.208,0.4509999752044678,fast,-1,3
84,testing,8,1676411229.241,1,1676411229.557,1,1676411229.691,0.31599998474121094,slow,-1,3
85,testing,9,1676411230.732,0,1676411231.023,0,1676411231.14,0.2909998893737793,slow,25,3
86,testing,10,1676411233.213,1,1676411233.921,1,1676411234.055,0.7079999446868896,fast,-1,3
87,test,1,1676476741.68,1,1676476742.297,0,1676476742.413,0.6169998645782471,fast,-1,4
88,test,2,1676476743.446,1,1676476744.23,0,1676476744.363,0.7839999198913574,fast,26,4
89,test,3,1676476747.079,1,1676476752.363,0,1676476752.48,5.283999919891357,slow,-1,4
90,test,4,1676476753.513,0,1676476754.063,0,1676476754.179,0.5499999523162842,slow,-1,4
91,test,5,1676476755.213,1,1676476756.03,1,1676476756.163,0.8169999122619629,fast,25,4
92,test,1,1676476761.898,0,1676476763.03,1,1676476763.163,1.1319999694824219,fast,-1,4
93,test,2,1676476764.197,1,1676476765.096,1,1676476765.213,0.8989999294281006,fast,23,4
94,test,3,1676476768.363,0,1676476768.947,1,1676476769.063,0.5840001106262207,slow,-1,4
95,test,4,1676476770.097,1,1676476770.397,0,1676476770.513,0.3000001907348633,slow,-1,4
96,test,5,1676476771.546,1,1676476771.98,0,1676476772.113,0.43400001525878906,fast,29,4
97,test,6,1676476775.196,1,1676476775.732,0,1676476775.847,0.5360000133514404,slow,-1,4
98,test,7,1676476776.896,1,1676476777.347,1,1676476777.464,0.4509999752044678,fast,-1,4
99,test,8,1676476778.513,0,1676476778.78,1,1676476778.897,0.2669999599456787,slow,-1,4
100,test,9,1676476779.955,0,1676476780.363,1,1676476780.496,0.40799999237060547,slow,25,4
101,test,10,1676476783.33,1,1676476783.83,0,1676476783.971,0.5,fast,-1,4
102,test,1,1676477680.464,1,1676477681.132,0,1676477684.148,0.6679999828338623,fast,-1,5
103,test,2,1676477685.181,0,1676477686.431,1,1676477689.448,1.25,fast,25,5
104,test,3,1676477692.081,1,1676477692.664,0,1676477697.181,0.5829999446868896,slow,-1,5
105,test,4,1676477698.231,1,1676477699.798,0,1676477704.331,1.567000150680542,slow,-1,5
106,test,5,1676477705.381,0,1676477705.965,0,1676477708.998,0.5839998722076416,fast,32,5
107,test,1,1676477714.915,1,1676477715.548,1,1676477718.581,0.6330001354217529,fast,-1,5
108,test,2,1676477719.631,0,1676477720.398,0,1676477723.414,0.7669999599456787,fast,33,5
109,test,3,1676477727.315,1,1676477727.898,1,1676477732.415,0.5829999446868896,slow,-1,5
110,test,4,1676477733.465,0,1676477734.264,0,1676477738.799,0.7990000247955322,slow,-1,5
111,test,5,1676477739.831,0,1676477740.731,0,1676477743.748,0.8999998569488525,fast,30,5
112,0000001,1,1676481795.269,1,1676481796.365,1,1676481799.379,1.0959999561309814,fast,-1,6
113,0000001,2,1676481800.412,0,1676481801.411,0,1676481804.442,0.999000072479248,fast,33,6
114,0000001,3,1676481809.17,1,1676481811.484,1,1676481815.998,2.313999891281128,slow,-1,6
115,0000001,4,1676481817.03,0,1676481817.546,1,1676481822.075,0.5160000324249268,slow,-1,6
116,0000001,5,1676481823.124,1,1676481823.391,1,1676481826.421,0.2669999599456787,fast,18,6
117,0000001,1,1676481831.899,1,1676481834.264,0,1676481837.294,2.365000009536743,fast,-1,6
118,0000001,1,1676481956.575,1,1676481957.409,0,1676481960.425,0.8339998722076416,fast,-1,7
119,0000001,2,1676481961.458,1,1676481962.492,0,1676481965.525,1.0340001583099365,fast,16,7
120,0000001,3,1676481970.942,0,1676481971.525,0,1676481976.041,0.5830001831054688,slow,-1,7
121,0000001,4,1676481977.074,1,1676481977.775,1,1676481982.291,0.7010002136230469,slow,-1,7
122,0000001,5,1676481983.341,1,1676481984.041,0,1676481987.074,0.6999998092651367,fast,19,7
123,0000001,1,1676481993.692,1,1676481994.658,1,1676481997.675,0.9660000801086426,fast,-1,7
124,0000001,2,1676481998.724,0,1676481999.675,0,1676482002.707,0.9509999752044678,fast,29,7
125,0000001,3,1676482006.24,1,1676482006.959,1,1676482011.491,0.7190001010894775,slow,-1,7
126,0000001,4,1676482012.54,0,1676482012.957,0,1676482017.491,0.41700005531311035,slow,-1,7
127,0000001,5,1676482018.524,1,1676482018.891,1,1676482021.908,0.36700010299682617,fast,25,7
