id,pid,trial_num,cue_time,action,action_time,reward,reward_time,rt,spinspeed,mood_rating,pid_db
1,0001234,1,1676653592.869,1,1676653594.285,0,1676653597.315,1.4160001277923584,fast,-1,7
2,0001234,2,1676653598.365,0,1676653600.514,0,1676653603.544,2.1489999294281006,fast,22,7
3,0001234,3,1676653616.453,0,1676653618.368,1,1676653622.899,1.9149999618530273,slow,-1,7
4,0001234,4,1676653623.948,0,1676653624.281,0,1676653628.811,0.33299994468688965,slow,-1,7
5,0001234,5,1676653629.86,0,1676653630.876,1,1676653633.891,1.0160000324249268,fast,21,7
6,0001234,1,1676653644.767,0,1676653645.649,1,1676653648.681,0.8819999694824219,fast,-1,7
7,0001234,2,1676653649.73,1,1676653650.48,0,1676653653.511,0.75,fast,22,7
8,0001234,3,1676653657.842,1,1676653658.791,0,1676653663.321,0.9489998817443848,slow,-1,7
9,0001234,4,1676653664.371,0,1676653667.619,1,1676653672.148,3.247999906539917,slow,-1,7
